ratings
1
2
3
3
8
7
8
5
9
8
7
9
9
5
9
7
9
3
9
8
7
6
5
6
7
4
4
6
4
3
10
7
3
6
10
6
10
6
10
9
10
9
10
8
10
2
10
1
10
8
10
8
5
9
7
5
9
5
8
4
2
5
8
9
6
4
5
6
6
5
7
7
7
8
6
8
7
8
2
4
8
3
7
8
3
8
8
5
6
2
5
9
9
2
9
6
9
9
9
3
